'Russian	troop	losses	in	east	colossal,	says	Ukraine	official	','news/live','https://www.bbc.com/news/live/world-europe-61252785
'Tennis	champion	Boris	Becker	jailed	over	bankruptcy	','news/uk-61276378','https://www.bbc.com/news/uk-61276378
'Panic	as	family	brings	shell	to	Israeli	airport	','news/world-middle-east-61267265','https://www.bbc.com/news/world-middle-east-61267265
'The	new	way	to	pick	a	partner?	','worklife/article','https://www.bbc.com/worklife/article/20220421-why-singles-are-pre-screening-their-dates
'The	city	where	water	defies	gravity	','travel/article','https://www.bbc.com/travel/article/20220428-the-spanish-city-where-water-defies-gravity
'A	terrifying	journey	to	a	Russian	prison	and	back	','news/world-europe-61249158','https://www.bbc.com/news/world-europe-61249158
'IS	'Beatle'	sentenced	to	life	in	US	court	','news/world-us-canada-61274332','https://www.bbc.com/news/world-us-canada-61274332
'Depp	v	Heard:	What	you	might	have	missed	this	week	','news/world-us-canada-61263794','https://www.bbc.com/news/world-us-canada-61263794
'LA	Dodgers'	Boehly	set	to	be	Chelsea	lead	bidder	','sport/football','https://www.bbc.com/sport/football/61267010
'West	Ham	identify	two	fans	after	alleged	attack	','sport/football','https://www.bbc.com/sport/football/61268852
'Jaguars	select	Walker	with	first	pick	of	NFL	draft	','sport/american-football','https://www.bbc.com/sport/american-football/61268290
'The	baffling	appeal	of	lawns	','future/article','https://www.bbc.com/future/article/20220426-should-people-get-rid-of-their-garden-lawns
'Why	Australia	is	giving	'period	leave'	','worklife/article','https://www.bbc.com/worklife/article/20220426-could-menstrual-leave-change-the-workplace
'Has	business	travel	changed	forever?	','travel/article','https://www.bbc.com/travel/article/20220427-five-places-business-travel-has-changed-post-pandemic
'11	films	to	watch	this	May	','culture/article','https://www.bbc.com/culture/article/20220428-11-of-the-best-films-to-watch-this-may
'Why	British	royals	face	simmering	resentment	in	Caribbean	','news/world-latin-america-61256001','https://www.bbc.com/news/world-latin-america-61256001
'Woman's	cake,	stolen	in	1945,	replaced	by	US	Army	','news/world-us-canada-61265618','https://www.bbc.com/news/world-us-canada-61265618
'Samsung	apologises	for	woman	running	at	2am	advert	','news/newsbeat-61242917','https://www.bbc.com/news/newsbeat-61242917
'Recall	hits	India's	'Tesla	of	two-wheelers'	','news/business-61092572','https://www.bbc.com/news/business-61092572
'How	did	Hitler	and	the	Nazis	seize	power	in	Germany?	','/watch/rise-of-the-nazis','https://www.bbcselect.com/watch/rise-of-the-nazis/?utm_source=BBC.com&utm_medium=Homepage+Module&utm_campaign=Rise+of+the+Nazis
'Pot-banging	Shanghai	residents	protest	Covid	rules	','news/world-asia-china-61270616','https://www.bbc.com/news/world-asia-china-61270616
'Pot-banging	Shanghai	residents	protest	Covid...	','news/world-asia-china-61270616','https://www.bbc.com/news/world-asia-china-61270616
'Storm	Eunice	topples	trees	and	rips	roofs	','news/uk-60431246','https://www.bbc.com/news/uk-60431246
'Seagulls	beware!	The	dogs	keeping	chips	safe	','news/world-australia-60418525','https://www.bbc.com/news/world-australia-60418525
'Children	surviving	war	without	their	parents	','news/world-europe-61263855','https://www.bbc.com/news/world-europe-61263855
'Cast	of	Downton	Abbey	returns	in	new	film	','news/entertainment-arts-61255884','https://www.bbc.com/news/entertainment-arts-61255884
'Ready	for	the	total	solar	eclipse?	','news/world-us-canada-40362067','https://www.bbc.com/news/world-us-canada-40362067
'Great	Mosque	of	al-Nuri	destroyed	','news/world-middle-east-40369547','https://www.bbc.com/news/world-middle-east-40369547
'Video	'shows	Mosul	mosque's	destruction'	','news/world-middle-east-40366136','https://www.bbc.com/news/world-middle-east-40366136
'The	rise	of	the	female	fitness	model	','news/uk-england-40058866','https://www.bbc.com/news/uk-england-40058866
'Car	burglar	caught	with	his	pants	down	','news/world-us-canada-40360953','https://www.bbc.com/news/world-us-canada-40360953
'Sirens	ring	out	in	Israel	to	honour	Holocaust...	','news/world-middle-east-61255423','https://www.bbc.com/news/world-middle-east-61255423
'War	in	Ukraine	absurd	and	evil	-	UN	chief	','news/world-europe-61254476','https://www.bbc.com/news/world-europe-61254476
'It'll	hit	us	when	we	hug	him	-	Trevor	Reed's...	','news/world-us-canada-61252940','https://www.bbc.com/news/world-us-canada-61252940
'Ukrainians	flock	to	get	patriotic	tattoos	','news/world-europe-61251308','https://www.bbc.com/news/world-europe-61251308
'Owners	'giving	up	pets'	as	cost	of	living...	','news/uk-england-south-yorkshire-61249824','https://www.bbc.com/news/uk-england-south-yorkshire-61249824
'German	energy	firm	ready	to	meet	Russian	pay	demand	','news/business-61257846','https://www.bbc.com/news/business-61257846
'Twitter	adds	users	as	it	gears	up	for	Musk	takeover	','news/business-61258357','https://www.bbc.com/news/business-61258357
'James	Webb	Space	Telescope	in	final	stretch	','news/science-environment-61268680','https://www.bbc.com/news/science-environment-61268680
'James	Corden	to	leave	Late	Late	Show	','news/entertainment-arts-61267036','https://www.bbc.com/news/entertainment-arts-61267036
'Charities	deliver	emergency	contraception	in	Ukraine	','news/health-61269792','https://www.bbc.com/news/health-61269792
'Gardeners	urged	to	let	lawns	go	wild	to	boost	nature	','news/uk-61264905','https://www.bbc.com/news/uk-61264905
'Is	Koko	the	future	of	live	music	venues?	','news/entertainment-arts-61179023','https://www.bbc.com/news/entertainment-arts-61179023
'Do	you	want	to	know	how	much	your	colleagues	earn?	','news/business-61227552','https://www.bbc.com/news/business-61227552
'How	we	can	fix	our	food	chain	','future/bespoke','https://www.bbc.com/future/bespoke/follow-the-food/how-we-might-build-a-food-utopia/
'Africa's	top	shots:	Candlelit	pilgrims	and	hungry	bees	','news/world-africa-61255324','https://www.bbc.com/news/world-africa-61255324
'Kebab	seller	image	wins	world	food	photo	contest	','news/in-pictures-61222913','https://www.bbc.com/news/in-pictures-61222913
'Tribute	to	Afro-Brazilian	god	wins	Rio	carnival	title	','news/world-latin-america-61241879','https://www.bbc.com/news/world-latin-america-61241879
'Africa's	top	shots:	Hypnotic	twirls	and	daring	leaps	','news/world-africa-61173922','https://www.bbc.com/news/world-africa-61173922
'The	art	of	the	album	cover	','news/in-pictures-60755359','https://www.bbc.com/news/in-pictures-60755359'
